,1,2,3,4,5,6,7,0,FPR_actual,size
0,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,0.00022865395517929001,12500
1,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,0.00018150534398896976,13500
2,34272217528,13348888,2321495,69868,29909.0,,,0,0.0001402589456039471,14500
3,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,0.00012259480020377917,15500
4,34272217528,13348888,2220790,100705,69868.0,29909.0,,0,0.0001211607411260804,16500
5,34272217528,13348888,2220790,100705,69868.0,29909.0,,0,9.895512185999359e-05,17500
6,34272217528,13348888,2321495,69868,29909.0,,,0,8.951738515334946e-05,18500
7,34272217528,13348888,2220790,100705,69868.0,29909.0,,0,5.60262100383428e-05,19500
8,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,5.906237538427338e-05,20500
9,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,5.0869272815634826e-05,21500
10,34272217528,13348888,2220790,100705,69868.0,29909.0,,0,3.821530770260349e-05,22500
11,34272217528,13348888,2321495,69868,29909.0,,,0,4.239435143371602e-05,23500
12,34276823058,11064853,69868,29909,,,,0,7.591760775482929e-05,24500
13,34246096576,36678101,2791739,2220790,100705.0,69868.0,29909.0,0,4.4859092169422036e-05,25500
